api_id,domain,feature_ref,api_name,description,http_method,endpoint_path,framework,consumer_type,is_crud,is_integration_api,auth_required,primary_entity,request_summary,response_summary,priority,status,notes
API-001,인증,#2,Google OAuth 로그인 시작,사용자를 Google OAuth 인증 플로우로 진입시킨다. 로그인 화면의 Google 버튼과 직접 연결된다.,,,springboot,frontend,N,N,N,User,로그인 시작 요청,OAuth redirect 정보 또는 시작 응답,Must,draft,OAuth only
API-002,인증,#2 #29,Google OAuth 콜백 처리,Google 인증 결과를 받아 세션을 발급하고 현재 account stage 기준 진입 라우팅 정보를 반환한다.,,,springboot,external_callback,N,Y,N,User,"authorization code, state","세션 발급 결과, account stage, next route",Must,draft,Google -> Spring Boot 콜백. 신규 사용자는 signup/setup 단계로 라우팅 가능
API-003,인증/사용자,#2 #29 #30,세션 부트스트랩 조회,"현재 로그인 사용자의 account stage, Google 계정 요약, 외부 연동 상태, 기능 제한 표시용 초기 진입 정보를 조회한다.",,,springboot,frontend,Y,N,Y,User,없음,"account stage, auth profile, 진입 target, 외부 연동 상태 요약, 기능 제한 플래그",Must,draft,OAuth only 세션 복구용
API-004,외부 계정 연동,#3 #24 #25,외부 계정 연동 시작,GitHub 또는 Velog 필수 연동을 시작한다. 향후 추가 공급자는 같은 구조를 재사용한다.,,,springboot,frontend,N,N,Y,ExternalAccountConnection,"provider, redirect context",연동 시작 URL 또는 상태,Must,draft,"회원가입 필수 연동 대상: GitHub, Velog"
API-005,외부 계정 연동,#3 #24 #25,외부 계정 연동 콜백 처리,회원가입 단계의 필수 외부 연동 결과를 받아 연결 상태를 저장한다.,,,springboot,external_callback,N,Y,N,ExternalAccountConnection,provider callback payload,연동 성공/실패 및 연결 상태,Must,draft,회원가입 필수 연동 콜백. 추가 공급자는 확장
API-006,외부 계정 연동,#3 #24 #30,외부 계정 연동 상태 조회,회원가입/온보딩/세션 복구 시점에 GitHub와 Velog 필수 연동 완료 여부를 조회한다.,,,springboot,frontend,Y,N,Y,ExternalAccountConnection,없음,"provider별 연결 여부, 표시용 계정 요약, 회원가입 진행 가능 여부",Must,draft,회원가입 단계 게이팅용 필수 연동 상태 조회
API-007,온보딩,#4 #29,온보딩 설문 제출,온보딩 설문 입력값을 저장하고 다음 단계 진행 가능 여부를 반환한다.,,,springboot,frontend,Y,N,Y,OnboardingSurvey,"정보 범위, 직업, 기술 스택, 희망 포지션, 페르소나",저장 결과 및 다음 단계 정보,Must,draft,validation 포함
API-008,온보딩,#29,온보딩 재진입 상태 조회,guest/surveyed/user 상태에 따라 재진입 위치를 결정하기 위한 정보를 조회한다.,,,springboot,frontend,Y,N,Y,User,없음,현재 role 및 resume target,Must,draft,세션 종료 후 재접속 복구
API-009,분석,#5 #6,분석 요청 생성,최초 분석 또는 재분석 작업을 생성한다.,,,springboot,frontend,N,N,Y,AnalysisJob,"분석 유형, 입력 스냅샷",analysis job id 및 초기 상태,Must,draft,실제 AI 실행은 내부 연동 API로 위임 가능
API-010,분석,#5,분석 진행 상태 조회,분석 작업의 진행 상태와 퍼센트를 폴링 방식으로 조회한다.,,,springboot,frontend,Y,N,Y,AnalysisJob,job id,"progress, status, ETA 후보 정보",Must,draft,폴링 전용 상태 조회. 실시간 스트림은 API-038로 분리
API-011,분석,#6,분석 결과 조회,분석 결과 화면에 필요한 요약 데이터를 조회한다.,,,springboot,frontend,Y,N,Y,AnalysisResult,analysis job id 또는 result id,"기술 스택, 스킬 레벨, 추천 포지션 등 결과 요약",Must,draft,결과 화면 렌더링용
API-012,분석,#7,분석 피드백 제출,분석 결과에 대한 교정 입력을 저장하고 필요 시 재분석을 트리거한다.,,,springboot,frontend,N,N,Y,AnalysisFeedback,"correction note, override input",feedback 저장 결과 및 재분석 job 정보,Must,draft,수동 보정값 반영
API-013,추천,#8,최초 추천 세션 생성,분석 결과를 기반으로 최초 추천 세션 생성을 요청한다.,,,springboot,frontend,N,N,Y,Recommendation,analysis_result_id,recommendation session metadata,Must,draft,실제 생성은 FastAPI 파이프라인이 수행 가능
API-014,추천,#8 #16 #19,추천 세션 조회,추천 세션 메타데이터와 추천 항목 목록을 조회한다.,,,springboot,frontend,Y,N,Y,Recommendation,"session id, filter","추천 세션 상세, 추천 항목 목록, 상태 메타데이터",Must,draft,최초 추천/기존 학습/신규 학습 공통 조회. 진행 스트림은 API-039로 분리
API-015,추천,#8 #16,추천 항목 액션 처리,"추천 항목 수락, 거절, 보류, 시작 액션을 처리한다.",,,springboot,frontend,Y,N,Y,RecommendationItem,"item id, action",상태 변경 결과 및 다음 단계 정보,Must,draft,상태 전이 검증 필요
API-016,사고 과정,#14,추천 근거 조회,추천 근거와 사고 과정 대시보드용 스냅샷을 조회한다.,,,springboot,frontend,Y,N,Y,RecommendationReasonSnapshot,recommendation id,"reason payload, reference links",Must,draft,UI 재현용 구조화 스냅샷
API-017,레퍼런스,#9-2 #16,레퍼런스 추천 요청,사용자 맥락 기반 레퍼런스 추천 생성을 요청한다.,,,springboot,frontend,N,N,Y,ReferenceRecommendation,context 또는 recommendation id,레퍼런스 추천 목록 및 validation report,Must,draft,URL 검증/최신성 검증 결과는 응답 payload에 포함하고 별도 조회 API는 두지 않음
API-018,퀴즈,#9-1 #17 #18,퀴즈 세트 생성 요청,복습 퀴즈 또는 사전 퀴즈 세트 생성을 요청한다.,,,springboot,frontend,N,N,Y,Quiz,"quiz type, context",quiz set metadata,Must,draft,생성은 FastAPI 위임 가능
API-019,퀴즈,#17 #18 #31,퀴즈 응시 제출,퀴즈 답안을 제출하고 채점 결과 및 learning state 반영 결과를 반환한다.,,,springboot,frontend,N,N,Y,QuizAttempt,quiz answers,"score, result summary, learning state delta",Must,draft,미응답 처리와 별도 구분
API-020,커리큘럼,#8 #19,커리큘럼 생성/확정,추천 수락 또는 신규 학습 시작 결과를 바탕으로 커리큘럼 초안을 생성하거나 확정한다.,,,springboot,frontend,N,N,Y,Curriculum,recommendation id 또는 사전 퀴즈 결과,curriculum id 및 요약,Must,draft,추천 기반 커리큘럼 생성/확정. 파일 업로드 기반 등록은 API-037로 분리
API-022,커리큘럼/캘린더,#13,일정 상태 수정,"일정 완료 여부, 완료율 등 상태성 필드만 수정한다.",,,springboot,frontend,Y,N,Y,CurriculumNode,"node id, status payload",수정된 일정 상태,Must,draft,노드 본문/연결/트랙 변경은 캘린더 그래프 CRUD(API-048~058)로 분리
API-023,캘린더 연동,#15,외부 캘린더 연동 시작,Google Calendar 연동을 시작한다.,,,springboot,frontend,N,N,Y,CalendarIntegration,"provider, redirect context",연동 시작 URL 또는 상태,Must,draft,MVP persistent integration: Google Calendar
API-024,캘린더 연동,#15,외부 캘린더 콜백 처리,Google Calendar 인증 결과를 받아 토큰과 연동 상태를 저장한다.,,,springboot,external_callback,N,Y,N,CalendarIntegration,"authorization code, state",연동 성공/실패 및 상태,Must,draft,Google -> Spring Boot 콜백
API-026,캘린더 연동,#12 #15 #30,캘린더 연동 상태 조회,Google Calendar 연동 여부와 마지막 동기화 시각을 조회한다.,,,springboot,frontend,Y,N,Y,CalendarIntegration,없음,"status, last_synced_at, 연결 계정 요약",Must,draft,Google Calendar only
API-027,히스토리,#20,히스토리 목록 조회,user_activity 기반 히스토리 목록과 필터 결과를 조회한다.,,,springboot,frontend,Y,N,Y,UserActivity,"기간, 소스, 카테고리 필터",history list,Must,draft,activity_date DESC 기본
