id,category,priority,release_scope,requirement,scope,source
NFR-001,인증/접근,Must,MVP,Google OAuth 로그인은 실패/취소/성공 상태를 명확히 구분해 처리해야 한다.,#2 로그인,origin/develop LoginPage.vue
NFR-002,인증/접근,Must,MVP,기존 사용자와 신규 사용자의 진입 라우팅은 Google 로그인 결과와 account stage에 따라 일관되어야 한다.,#2 로그인 · #29 재진입,origin/develop LoginPage.vue · SignUpPage.vue · LoadingPage.vue
NFR-003,온보딩 복구,Must,MVP,회원가입 완료 단계 또는 setup 단계에서 세션이 종료되면 다음 로그인에서 이전 account stage로 복귀할 수 있어야 한다.,#29 온보딩 복구,origin/develop SignUpPage.vue · SetupPage.vue · LoadingPage.vue
NFR-004,입력 검증,Must,MVP,초기 설문 필수 입력(직업 · 기술 스택) 누락 시 다음 단계 진행을 차단해야 한다.,#4 사전 설문,fun-spec #4
NFR-005,분석 성능,Must,MVP,최초 사용자 분석은 사용자 대기 허용 시간 내 완료되어야 한다.,#5 분석 로딩 · #6 분석 결과,fun-spec #5 #6 · PRD 최초 분석 요구
NFR-006,분석 신뢰성,Must,MVP,분석 결과에 대한 사용자 피드백(네/아니오) 입력은 누락 없이 저장되어야 한다.,#6 분석 결과 화면,fun-spec #6 · PRD Success Metrics(분석 정확 응답률)
NFR-007,재분석 안정성,Must,MVP,수정 피드백 기반 재분석은 동일 입력 시 재현 가능한 결과를 반환해야 한다.,#7 분석 피드백,fun-spec #7 · PRD 3-4 분석 반복 수정
NFR-008,추천 응답성,Must,MVP,맞춤 추천 생성 응답 시간은 사용자 체감 지연을 최소화해야 한다.,#8 최초 추천 · #16 맞춤 추천,fun-spec #8 #16 · PRD 맞춤형 추천
NFR-009,추천 설명 가능성,Must,MVP,모든 추천은 최소 1개 이상의 근거 요약과 연결되어야 한다.,#8 추천 모달 · #14 사고 과정 확인,fun-spec #8 #14 · PRD 핵심가치(투명성)
NFR-010,URL 안전성,Must,MVP,레퍼런스 추천 전 URL 안전성(악성/피싱 여부) 검증을 수행해야 한다.,#9-2 레퍼런스 · #16 레퍼런스 추천,fun-spec #9-2 #16
NFR-011,콘텐츠 최신성,Must,MVP,레퍼런스 추천 시 발행 시점 기반 최신성 점검 결과를 함께 제공해야 한다.,#9-2 레퍼런스 · #16 레퍼런스 추천,fun-spec #9-2 #16
NFR-013,캘린더 정합성,Must,MVP,Google Calendar 동기화 시 내부 일정과 외부 일정 매핑 식별자가 유지되어야 한다.,#15 외부 캘린더 연동,fun-spec #15 · PRD Q&A(extendedProperties)
NFR-012,활동 추적,Must,MVP,활동 진행 후 캘린더 업로드 상태는 추적 가능한 이벤트로 기록되어야 한다.,#10 활동 진행 · #11 업로드 확인,fun-spec #10 #11
NFR-015,수동 동기화 UX,Must,MVP,수동 동기화 요청 결과(성공/실패/최종 동기화 시각)를 사용자에게 즉시 제공해야 한다.,#15 외부 캘린더 연동,fun-spec #15
NFR-014,개인정보 보호,Must,MVP,외부 일정 수집 시 민감정보 필터링 단계를 반드시 거쳐야 한다.,#15 외부 캘린더 연동,fun-spec #15
NFR-016,퀴즈 품질,Must,MVP,퀴즈는 추천/학습 컨텍스트와 직접 연관된 문제로 생성되어야 한다.,#9-1 퀴즈 · #17 성취도 반영 · #18 사전 퀴즈,fun-spec #9-1 #17 #18 · PRD 퀴즈 요구
NFR-017,미응답 제어,Must,MVP,퀴즈 미응답 누적 시 리마인드 또는 추천 강도 완화가 자동 적용되어야 한다.,#31 미응답 처리,fun-spec #31 · PRD 3-4 예외 상황
NFR-018,히스토리 무결성,Must,MVP,히스토리 제외/복구 요청은 이후 추천 컨텍스트와 사용자 화면 상태에 즉시 반영되어야 한다.,#20 히스토리 · #21 기록 제외/복구,fun-spec #20 #21 · PRD 히스토리 관리
NFR-019,대시보드 가독성,Must,MVP,사고 과정 대시보드는 추천 생성 근거 흐름을 단계별로 조회 가능해야 한다.,#14 사고 과정 확인,fun-spec #14 · PRD 핵심가치(투명성)
NFR-020,관측성,Must,MVP,핵심 플로우(로그인 · 분석 · 추천 · 캘린더 동기화 · 퀴즈)는 구조화 로그/메트릭을 남겨야 한다.,#2 #5 #8 #15 #17,PRD Success Metrics · fun-spec 핵심 플로우
NFR-021,가용성/복구,Must,MVP,외부 API 장애 시 재시도 및 사용자 안내 메시지를 제공해야 한다.,#2 #3 #15 #16,PRD 연동 기능 전반
NFR-023,접근성/반응성,Must,MVP,핵심 화면은 모바일/데스크톱에서 레이아웃 깨짐 없이 동작해야 한다.,#1 #4 #6 #12 #16 #20 #22,fun-spec 주요 화면 정의
NFR-022,보안,Must,MVP,OAuth/외부 연동 토큰은 암호화 저장 및 최소 권한 범위로 관리해야 한다.,#2 #3 #15 #23,PRD OAuth 요구 · fun-spec 연동 기능
NFR-025,데이터 보존,Must,MVP,사용자 활동/추천/퀴즈 이력은 장기 추적 가능하되 개인정보 보존 정책을 준수해야 한다.,#20 히스토리 · #21 삭제/제외,PRD 기대효과(장기 추적) · 히스토리 요구
NFR-024,애니메이션 성능,Must,MVP,온보딩 애니메이션은 사용자 조작을 방해하지 않으며 성능 저하를 유발하지 않아야 한다.,#11 캘린더 업로드 확인 모달,fun-spec #11
NFR-026,확장성,Must,Extension,추가 OAuth 공급자(Tistory/Naver)는 기존 연동 구조를 재사용 가능해야 한다.,#24 추가 계정 연동,fun-spec #24 · PRD Could Have
NFR-027,심층 분석 성능,Must,Extension,GitHub 코드/리드미 심층 분석은 비동기 작업으로 처리되어 UI 블로킹을 유발하지 않아야 한다.,#25 GitHub 심층분석,fun-spec #25 · PRD Could Have
NFR-028,추천 신뢰성,Could,Extension,포트폴리오 추천은 분석 근거(레포/활동 요약)와 함께 제공되어야 한다.,#26 포트폴리오 추천,fun-spec #26 · PRD Could Have
NFR-031,온보딩 단계 가시성,Must,MVP,"온보딩 카드 상단의 단계 표시(예: 3/4)는 현재 단계와 전체 단계 수를 일관되게 보여줘야 하며, 온보딩 중 이탈한 guest 사용자는 재진입 시 첫 단계부터 다시 시작하도록 처리해야 한다.",설문 화면(온보딩),figma: 설문 화면(온보딩).png
NFR-030,범위 통제,Must,MVP,Out of Scope 기능은 MVP 릴리즈에서 노출되거나 활성화되면 안 된다.,PRD Out of Scope 전체,PRD 5. Out of Scope
NFR-032,분석 진행 상태 동기화,Must,MVP,분석 진행 화면의 단계(데이터 수집/분석 진행/추천 생성)와 진행바 상태는 백엔드 처리 상태와 동기화되어야 하며 완료 시 결과 화면으로 자동 전환되어야 한다. 진행 중에는 최신 트렌드 등 참고 정보를 함께 제공해야 한다.,분석 진행 화면,figma: 분석 진행 화면.png
NFR-034,분석 결과 확인 분기,Must,MVP,분석 결과 확인의 네/아니오 선택은 단일 선택으로 처리되며 선택값에 따라 다음 경로가 확정되어야 한다.,분석 결과 요약 화면 · 네 체크 후 제안 확인 단계 · 분석 결과가 틀렸을 때 입력 화면,figma: 분석 결과 요약 화면.png · 네 체크 후 제안 확인 단계.png · 분석 결과가 틀렸을 때 입력 화면.png
NFR-033,분석 대시보드 메타 정보,Must,MVP,분석 결과 요약 화면은 사용자명 · 분석 일시 · 요약 카드 · 차트 · 상세 목록을 누락 없이 표시해야 한다.,분석 결과 요약 화면,figma: 분석 결과 요약 화면.png
NFR-035,재분석 요청 입력 제어,Must,MVP,재분석 요청은 빈 입력 제출을 차단하고 · 이전 화면 복귀 기능을 제공해야 한다.,분석 결과가 틀렸을 때 입력 화면,figma: 분석 결과가 틀렸을 때 입력 화면.png
NFR-036,추천 결과 화면 액션 일관성,Must,MVP,추천 결과 화면의 뒤로가기 · 다른 활동 탐색 · 업로드 실행 액션은 상호 배타적이고 예측 가능한 상태 전이를 보장해야 한다.,네 체크 후 제안 확인 단계,figma: 네 체크 후 제안 확인 단계.png
NFR-039,퀴즈 네비게이션 상태 제어,Must,MVP,퀴즈의 이전/다음/제출 버튼은 현재 문항 위치와 응답 상태에 맞게 활성/비활성 규칙을 준수해야 한다.,활동 진행 화면(퀴즈/레퍼런스 공통 구조),figma: 활동 진행 화면(퀴즈/레퍼런스 공통 구조).png
NFR-037,활동 선택 CTA 게이팅,Must,MVP,활동 선택 화면의 선택한 활동 시작하기 버튼은 최소 1개 활동 선택 전까지 비활성화되어야 한다.,다른 활동도 알아볼래요 클릭 후,figma: 다른 활동도 알아볼래요 클릭 후.png
NFR-038,퀴즈 진행률 정합성,Must,MVP,퀴즈 화면의 문제 번호(예: 2/5)와 진행률(예: 40%)은 항상 동일 상태를 반영해야 한다.,활동 진행 화면(퀴즈/레퍼런스 공통 구조),figma: 활동 진행 화면(퀴즈/레퍼런스 공통 구조).png
NFR-040,업로드 완료 후 전환,Must,MVP,커리큘럼 업로드 완료 모달에서 캘린더로 이동 수행 시 캘린더 화면으로 즉시 이동해야 한다.,커리큘럼 업로드 확인 화면,figma: 커리큘럼 업로드 확인 화면.png
NFR-041,캘린더 탐색 제어,Must,MVP,캘린더 플로우 화면과 학습 캘린더 화면의 이전/오늘/다음 이동은 각 화면 규칙에 맞게 일관되게 동작해야 한다.,#12 캘린더 뷰,origin/develop MainPage.vue · StudyCalendarPage.vue
NFR-042,캘린더 연동 상태 가시성,Must,MVP,학습 캘린더 화면에서는 Google Calendar 연결 상태와 마지막 동기화 시각을 항상 노출해야 한다.,#15 외부 캘린더 연동,origin/develop StudyCalendarPage.vue
NFR-043,캘린더 동기화 액션 분리,Must,MVP,"학습 캘린더의 일정 불러오기와 일정 반영하기는 서로 다른 동작으로 분리되고, 사용자는 현재 실행 중인 액션을 명확히 구분할 수 있어야 한다.",#15 외부 캘린더 연동,origin/develop StudyCalendarPage.vue
NFR-044,일정 상세 모달 실시간 반영,Must,MVP,날짜 선택 시 해당 날짜의 상세 모달은 진행률 · 활동 목록 · 체크 상태를 선택한 날짜 기준으로 즉시 갱신해 표시해야 한다.,메인 - 캘린더 페이지,figma: 메인 - 캘린더 페이지.png
NFR-045,히스토리 제외/복구 안정성,Must,MVP,"히스토리 항목은 `user_activity.is_excluded` 값(`false` 기본값)으로 관리되어야 한다. 사용자가 특정 항목을 제외하면 `is_excluded = true`로 변경되고, 화면에는 추천 맥락에서 비활성화되었음이 시각적으로 표시되어야 한다. 사용자가 복원을 선택하면 `is_excluded = false`로 되돌아가야 한다.",메인 - 히스토리 페이지,figma: 메인 - 히스토리 페이지.png
NFR-047,스킬 점수 산식 일관성,Must,MVP,스킬 레벨 산식(활동 유형 가중치 × 시간 감쇠 + 설문 보정값)은 동일 입력 데이터에 대해 항상 동일한 결과를 반환해야 한다.,#6 분석 결과 화면 · #17 성취도 반영 · #22 나의 데이터 요약 확인,fun-spec #6 #17 #22 · 0305 추가 요구
NFR-048,활동 이벤트 무결성,Must,MVP,"스킬 계산의 원천인 user_activity 이벤트는 사용자 식별자, 활동 시각, 활동 유형을 누락 없이 저장해야 한다.",#3 외부 계정 연동 · #15 외부 캘린더 연동 · #20 히스토리,fun-spec #3 #15 #20 · table UserActivity
NFR-046,좌측 내비게이션 활성 상태,Must,MVP,사이드바 내 현재 메뉴(캘린더/추천/히스토리 등)의 활성 상태 표시는 현재 라우트와 항상 일치해야 한다.,메인 - 캘린더 페이지 · 메인 - 추천 페이지 · 메인 - 히스토리 페이지,figma: 메인 - 캘린더 페이지.png · 메인 - 추천 페이지.png · 메인 - 히스토리 페이지.png
